Data Source in SDW: https://sdw.ecb.europa.eu/browseTable.do?org.apache.struts.taglib.html.TOKEN=bbf42349e251aa17848ddf8c46a606d6&df=true&MAX_DOWNLOAD_SERIES=500&DATASET=0&org.apache.struts.taglib.html.TOKEN=6daaefa0cae18e10a1620a716a31fa60&org.apache.struts.taglib.html.TOKEN=dde6f882908bd1fa6526a22ced1cbadb&org.apache.struts.taglib.html.TOKEN=274918004cd7878c61140693b749d336&org.apache.struts.taglib.html.TOKEN=cee2ea0d7dafc6eb3b7535f5eb59f646&FREQ.18=D&node=9691296&SERIES_MAX_NUM=50&legendPub=published&activeTab=EXR&start=05-01-2021&end=05-01-2023&submitOptions.x=0&submitOptions.y=0&trans=N&q=&type=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EXR.D.AUD.EUR.SP00.A,EXR.D.BGN.EUR.SP00.A,EXR.D.BRL.EUR.SP00.A,EXR.D.CAD.EUR.SP00.A,EXR.D.CHF.EUR.SP00.A,EXR.D.CNY.EUR.SP00.A,EXR.D.CZK.EUR.SP00.A,EXR.D.DKK.EUR.SP00.A,EXR.D.GBP.EUR.SP00.A,EXR.D.HKD.EUR.SP00.A,EXR.D.HRK.EUR.SP00.A,EXR.D.HUF.EUR.SP00.A,EXR.D.IDR.EUR.SP00.A,EXR.D.ILS.EUR.SP00.A,EXR.D.INR.EUR.SP00.A,EXR.D.ISK.EUR.SP00.A,EXR.D.JPY.EUR.SP00.A,EXR.D.KRW.EUR.SP00.A,EXR.D.MXN.EUR.SP00.A,EXR.D.MYR.EUR.SP00.A,EXR.D.NOK.EUR.SP00.A,EXR.D.NZD.EUR.SP00.A,EXR.D.PHP.EUR.SP00.A,EXR.D.PLN.EUR.SP00.A,EXR.D.RON.EUR.SP00.A,EXR.D.RUB.EUR.SP00.A,EXR.D.SEK.EUR.SP00.A,EXR.D.SGD.EUR.SP00.A,EXR.D.THB.EUR.SP00.A,EXR.D.TRY.EUR.SP00.A,EXR.D.USD.EUR.SP00.A,EXR.D.ZAR.EUR.SP00.A
2022/2/2,1.5828,1.9558,5.9677,1.433,1.0399,7.2026,24.298,7.4383,0.83395,8.8245,7.526,354.45,16243.98,3.5777,84.613,143.2,129.37,1359.23,23.2134,4.7392,9.9228,1.701,57.785,4.5449,4.9463,85.815,10.385,1.5254,37.575,15.3011,1.1323,17.3459
2022/2/1,1.5868,1.9558,5.9572,1.4299,1.0374,7.1625,24.335,7.4407,0.83498,8.7779,7.5275,356.38,16126.29,3.566,84.197,143.8,129.12,1353.61,23.1296,4.7129,9.9638,1.7032,57.516,4.5804,4.9465,86.3238,10.4438,1.5199,37.378,15.0644,1.126,17.1633
2022/1/31,1.582,1.9558,6.003,1.4233,1.0404,7.0963,24.372,7.4419,0.83153,8.6994,7.5293,357.19,16036.76,3.564,83.3655,143.2,128.79,1349.08,23.1856,4.6693,10.0085,1.6983,56.985,4.5892,4.9475,86.7251,10.489,1.511,37.144,14.931,1.1156,17.3734
2022/1/28,1.5971,1.9558,6.0147,1.4239,1.0378,7.0857,24.443,7.4432,0.83178,8.681,7.529,358.42,16047.76,3.5697,83.6015,144,128.68,1349.47,23.1854,4.6668,10.026,1.7031,57.028,4.5755,4.9463,86.6113,10.552,1.5109,37.229,15.1424,1.1138,17.3844
2022/1/27,1.5771,1.9558,6.0159,1.4161,1.0391,7.1061,24.427,7.4428,0.83368,8.6951,7.5328,358.09,16052.42,3.5695,83.7893,145.2,128.74,1344.5,23.143,4.6844,9.9903,1.6872,57.295,4.5592,4.9466,87.139,10.445,1.5089,37.124,15.1946,1.116,17.1112
2022/1/26,1.5727,1.9558,6.1084,1.4173,1.0386,7.1293,24.531,7.442,0.83458,8.7791,7.529,359.67,16185.31,3.5834,84.4288,145.6,128.86,1350.03,23.1845,4.7268,10.0115,1.6865,57.728,4.5864,4.9451,89.265,10.4493,1.5162,37.169,15.2877,1.1277,17.0858
2022/1/25,1.5814,1.9558,6.2049,1.4247,1.0364,7.1325,24.5,7.4437,0.83713,8.7725,7.5295,359.44,16169.54,3.5898,84.277,146,128.49,1350.71,23.2909,4.7213,10.1385,1.6911,57.753,4.5751,4.9448,88.7384,10.502,1.5157,37.28,15.2723,1.1268,17.2669
2022/1/24,1.5866,1.9558,6.1901,1.4269,1.0308,7.1533,24.528,7.4431,0.83803,8.8003,7.529,359.84,16213.69,3.5846,84.3495,145.6,128.62,1352.41,23.2566,4.7352,10.1638,1.6901,58.045,4.5572,4.9453,88.649,10.5038,1.5216,37.382,15.1621,1.1304,17.2509
2022/1/21,1.5774,1.9558,6.2063,1.4211,1.0353,7.1946,24.347,7.4431,0.83633,8.837,7.528,358.19,16244.2,3.5668,84.419,145.6,129.14,1351.89,23.2229,4.7508,10.0523,1.6884,58.171,4.5318,4.9453,86.838,10.414,1.526,37.358,15.223,1.1348,17.1546
2022/1/20,1.5662,1.9558,6.1621,1.4158,1.0382,7.1936,24.263,7.4424,0.83265,8.8274,7.525,355.81,16267.5,3.5564,84.362,145.4,129.53,1349.16,23.1684,4.7489,9.9578,1.6731,58.285,4.5228,4.9453,86.8952,10.3708,1.5261,37.319,15.2094,1.1338,17.2531
2022/1/19,1.5709,1.9558,6.2657,1.4144,1.0383,7.2003,24.313,7.4419,0.83168,8.8392,7.5238,355.88,16283.78,3.5529,84.4135,145.2,129.86,1347.1,23.0922,4.757,9.9368,1.6684,58.429,4.5229,4.9449,86.48,10.3428,1.5293,37.467,15.4207,1.1345,17.3889
2022/1/18,1.5833,1.9558,6.2797,1.4228,1.0414,7.2212,24.426,7.4425,0.83673,8.8576,7.5225,357,16318.64,3.5557,84.813,146,130.39,1355.33,23.1443,4.7554,9.9638,1.6798,58.553,4.526,4.9449,86.7325,10.3185,1.5349,37.635,15.4447,1.1367,17.5398
2022/1/17,1.5811,1.9558,6.2808,1.4287,1.0429,7.2402,24.467,7.4417,0.83573,8.8844,7.5275,356.09,16337.73,3.5479,84.7295,146.8,130.64,1359.89,23.1901,4.7704,9.9623,1.6765,58.496,4.5256,4.9443,87.3907,10.305,1.5374,37.761,15.2757,1.1403,17.601
2022/1/14,1.5803,1.9558,6.3361,1.433,1.0429,7.2728,24.493,7.4414,0.83508,8.9119,7.5205,356.1,16388.85,3.5565,84.9445,147,130.17,1361.27,23.2684,4.7831,9.9863,1.6745,58.727,4.5414,4.9429,88.0011,10.2684,1.5418,38.033,15.5256,1.1447,17.6043
2022/1/13,1.5709,1.9558,6.3518,1.4304,1.0453,7.2913,24.458,7.4409,0.83545,8.9289,7.5202,355.24,16379.02,3.5638,84.717,147,130.98,1359.24,23.3894,4.7875,9.9333,1.6676,58.572,4.5361,4.944,86.603,10.238,1.5427,38.08,15.5744,1.1463,17.6381
2022/1/12,1.5762,1.9558,6.3458,1.4261,1.0486,7.2379,24.423,7.4414,0.83338,8.863,7.524,355.98,16295.93,3.5406,84.0285,147,131.19,1353.27,23.1852,4.7595,9.927,1.6775,58.08,4.5359,4.9453,84.7559,10.264,1.5358,37.936,15.5922,1.137,17.5645
2022/1/11,1.5804,1.9558,6.389,1.4329,1.0502,7.2255,24.412,7.4404,0.83475,8.8384,7.5236,357.45,16221.39,3.549,83.7481,147,130.95,1352.85,23.0888,4.7515,10.0165,1.6772,57.979,4.5438,4.945,84.8663,10.3075,1.5342,37.862,15.696,1.1336,17.7094
2022/1/10,1.5774,1.9558,6.3969,1.4327,1.0446,7.2128,24.357,7.4381,0.83398,8.8233,7.5278,358.4,16181.9,3.5303,83.8,146.2,130.45,1355.68,23.0597,4.7536,10.0253,1.6753,58.141,4.5334,4.9449,84.9825,10.3038,1.5344,38.074,15.7183,1.1318,17.6999
2022/1/7,1.5804,1.9558,6.4343,1.4374,1.0422,7.206,24.439,7.438,0.8343,8.8133,7.5214,358.68,16188.43,3.5135,83.978,146,130.9,1359.96,23.1109,4.7553,10.0288,1.6748,58.046,4.5496,4.9451,85.298,10.2839,1.5356,38.074,15.7206,1.1298,17.6701
2022/1/6,1.5778,1.9558,6.442,1.4451,1.0395,7.2187,24.528,7.4393,0.83593,8.8272,7.5197,359.84,16291.88,3.5247,84.2475,146.8,131.05,1362.06,23.2549,4.767,10.035,1.6752,57.943,4.5614,4.9435,86.5088,10.3265,1.5388,37.962,15.5504,1.1315,17.7932
2022/1/5,1.56,1.9558,6.4146,1.4399,1.0364,7.2087,24.581,7.4384,0.83546,8.8227,7.519,362.15,16263.02,3.4989,84.161,146.8,131.03,1354.61,23.1422,4.7466,9.9672,1.6597,57.713,4.5666,4.946,85.7275,10.2545,1.534,37.607,15.2446,1.1319,17.9369
2022/1/4,1.5682,1.9558,6.4174,1.4382,1.0355,7.1924,24.745,7.4378,0.83618,8.7919,7.5185,365.12,16199.73,3.4909,84.2055,147.8,131.17,1352.91,23.1808,4.7214,10.0138,1.6668,57.988,4.5667,4.9481,84.9202,10.2808,1.531,37.582,15.1384,1.1279,18.108
2022/1/3,1.5691,1.9558,6.3539,1.442,1.0372,7.2174,24.818,7.4382,0.84135,8.8541,7.519,367.71,16202.02,3.5139,84.3949,147.6,130.56,1354.4,23.2259,4.7379,10.0013,1.6651,58.051,4.5895,4.9483,84.5313,10.2958,1.5333,37.665,15.0777,1.1355,17.9661
2021/12/31,1.5615,1.9558,6.3101,1.4393,1.0331,7.1947,24.858,7.4364,0.84028,8.8333,7.5156,369.19,16100.42,3.5159,84.2292,147.6,130.38,1346.38,23.1438,4.7184,9.9888,1.6579,57.763,4.5969,4.949,85.3004,10.2503,1.5279,37.653,15.2335,1.1326,18.0625
2021/12/30,1.5594,1.9558,6.3734,1.4481,1.0363,7.223,24.917,7.4365,0.8393,8.8399,7.5211,370.15,16163.41,3.5204,84.2575,147.6,130.44,1347.56,23.2431,4.7336,9.9703,1.6545,57.849,4.596,4.9494,84.8888,10.2438,1.533,37.867,14.7184,1.1334,18.0173
2021/12/29,1.5638,1.9558,6.3824,1.4486,1.038,7.1994,24.958,7.4365,0.84115,8.8127,7.52,370.22,16112.32,3.5179,84.388,147.4,129.97,1341.06,23.2544,4.7269,9.9883,1.6625,57.592,4.6037,4.9499,83.5863,10.2608,1.5309,37.888,14.1525,1.1303,17.9471
2021/12/28,1.5603,1.9558,6.3981,1.4487,1.0381,7.2159,24.98,7.4362,0.84248,8.838,7.5175,369.08,16126.51,3.5223,84.6335,147.4,130.16,1345.14,23.4003,4.7369,9.9728,1.6602,57.288,4.6063,4.95,83.4446,10.2528,1.5335,37.948,13.3521,1.1331,17.8113
2021/12/27,1.5685,1.9558,6.4157,1.4529,1.0396,7.2087,25.139,7.4362,0.8433,8.8246,7.5025,370.22,16081.55,3.5465,84.8105,147.4,129.79,1343.6,23.3216,4.7318,10.0405,1.666,56.83,4.605,4.9498,83.2088,10.325,1.5354,37.963,12.8099,1.1312,17.5609
2021/12/24,1.5645,1.9558,6.4229,1.4502,1.0402,7.2064,25.014,7.436,0.84389,8.8255,7.5108,370.82,16056.5,3.5735,84.885,147.2,129.45,1343.18,23.3103,4.748,10.0043,1.6589,56.592,4.619,4.9498,83.2027,10.33,1.5343,37.833,13.2402,1.1317,17.5821
2021/12/23,1.5639,1.9558,6.4015,1.451,1.0413,7.2056,25.088,7.4362,0.84228,8.8215,7.5165,369.84,16041.87,3.5663,85.0775,147,129.39,1343.29,23.409,4.7502,10.0113,1.6609,56.633,4.628,4.9495,83.2366,10.3035,1.5379,37.934,12.6525,1.131,17.7769
2021/12/22,1.5758,1.9558,6.4616,1.4589,1.0432,7.1999,25.24,7.4362,0.849,8.8155,7.5208,368.54,16102.79,3.5775,85.407,146.8,129.08,1346.25,23.47,4.7617,10.0613,1.6674,56.772,4.632,4.9503,83.4396,10.2906,1.5422,38.13,14.0719,1.1301,17.9668
2021/12/21,1.584,1.9558,6.4573,1.4599,1.0417,7.1965,25.24,7.4362,0.8528,8.8111,7.5215,368,16135.51,3.577,85.3648,146.8,128.44,1345.39,23.4677,4.754,10.1488,1.6726,56.389,4.6375,4.95,83.5985,10.3315,1.5414,38.019,14.7132,1.1295,17.9025
2021/12/20,1.5855,1.9558,6.4219,1.4569,1.0408,7.1882,25.234,7.4363,0.85205,8.7943,7.515,366.69,16244.16,3.5608,85.5025,146.6,127.98,1343.4,23.4407,4.7645,10.1915,1.6778,56.256,4.6337,4.9486,83.59,10.301,1.5415,37.889,20.0434,1.1273,17.8271
2021/12/17,1.5815,1.9558,6.4648,1.4527,1.0409,7.2234,25.255,7.4364,0.85208,8.8388,7.5223,367.57,16268.73,3.5495,86.064,146.2,128.28,1342.76,23.5473,4.7807,10.1783,1.6738,56.621,4.6336,4.9501,83.6856,10.2753,1.5459,37.706,19.1155,1.133,17.928
2021/12/16,1.5714,1.9558,6.4378,1.4484,1.0457,7.2183,25.282,7.4362,0.84835,8.8432,7.5171,369.24,16265.88,3.5248,86.4005,146.8,129.37,1341.38,23.7706,4.7685,10.1458,1.661,56.681,4.6278,4.9498,83.286,10.2465,1.5455,37.919,17.5824,1.1336,18.1121
2021/12/15,1.5763,1.9558,6.4354,1.4496,1.0416,7.1691,25.271,7.4362,0.8498,8.7861,7.5208,369.09,16165.75,3.535,86.0345,146.8,128.25,1335.4,23.8856,4.7638,10.2278,1.6689,56.574,4.6272,4.9493,83.0838,10.2565,1.5405,37.615,16.5612,1.1262,18.1976
2021/12/14,1.5866,1.9558,6.3723,1.449,1.0404,7.1956,25.334,7.4362,0.85345,8.8227,7.5213,366.85,16179.72,3.5242,85.879,147.4,128.45,1338.31,23.7839,4.786,10.2475,1.6723,56.882,4.63,4.9494,83.1963,10.281,1.5469,37.716,16.2092,1.1309,18.1219
2021/12/13,1.5795,1.9558,6.319,1.4388,1.0418,7.1777,25.401,7.4362,0.85158,8.7967,7.521,367.07,16155.54,3.504,85.4225,148,128.19,1333.6,23.5354,4.7678,10.1598,1.6651,56.731,4.6221,4.9494,82.8238,10.231,1.542,37.612,16.0525,1.1278,17.9694
2021/12/10,1.5765,1.9558,6.2923,1.434,1.0424,7.1814,25.365,7.4362,0.85355,8.7918,7.525,365.58,16202.7,3.4931,85.3105,147.8,128.2,1331.35,23.6094,4.7488,10.1335,1.6635,56.746,4.6123,4.9494,82.8024,10.2463,1.5396,37.945,15.6908,1.1273,18.0414
2021/12/9,1.584,1.9558,6.2718,1.4363,1.0446,7.2114,25.434,7.4362,0.8574,8.8186,7.5305,365.81,16265.76,3.513,85.5075,147.4,128.21,1331.42,23.8011,4.7693,10.155,1.6672,57.045,4.6045,4.9493,83.2976,10.257,1.5446,37.96,15.6175,1.1311,18.019
2021/12/8,1.5841,1.9558,6.335,1.4281,1.0432,7.1726,25.475,7.4362,0.85603,8.8088,7.525,368.13,16205.54,3.5176,85.2345,147.4,128.57,1328.25,23.6365,4.7733,10.096,1.6659,56.784,4.5962,4.9488,83.3019,10.2513,1.5415,37.829,15.4796,1.1299,17.8168
2021/12/7,1.5836,1.9558,6.3327,1.4258,1.0414,7.1671,25.465,7.4363,0.84933,8.7753,7.5205,365.88,16175.52,3.5495,84.878,147.4,127.83,1325.5,23.8972,4.7635,10.19,1.6607,56.772,4.5942,4.9488,83.7755,10.2573,1.538,37.91,15.369,1.1256,17.9612
2021/12/6,1.6034,1.9558,6.416,1.4437,1.0416,7.1986,25.421,7.4362,0.85128,8.8053,7.5265,364.43,16306.04,3.5726,85.119,147.2,127.78,1333.81,23.9694,4.7817,10.2943,1.6703,56.915,4.5924,4.9462,83.3889,10.2688,1.5456,38.252,15.5642,1.1287,18.0231
2021/12/3,1.5999,1.9558,6.3687,1.4471,1.0387,7.1935,25.415,7.4362,0.85048,8.8006,7.5273,363.86,16288.18,3.5655,84.8455,146.8,127.97,1334.04,23.9841,4.7772,10.2875,1.6634,57.048,4.5923,4.9493,83.0225,10.3185,1.5466,38.254,15.6131,1.1291,17.9509
2021/12/2,1.5975,1.9558,6.3935,1.4526,1.0414,7.2297,25.42,7.4362,0.85135,8.8375,7.5245,362.44,16342.16,3.5904,85.052,146.8,127.94,1333.57,24.1963,4.7964,10.2962,1.6662,57.32,4.5953,4.9488,83.5138,10.2658,1.5501,38.413,15.2937,1.1339,17.9652
2021/12/1,1.5849,1.9558,6.3498,1.4433,1.0427,7.2065,25.443,7.4362,0.85,8.8154,7.5185,363.78,16249.4,3.5623,84.7485,146.6,128.27,1330.53,24.0869,4.7745,10.2195,1.6548,57.004,4.6283,4.9467,83.6246,10.226,1.5431,38.151,15.1664,1.1314,17.9011
2021/11/30,1.5898,1.9558,6.3762,1.4518,1.043,7.2395,25.526,7.4368,0.85173,8.8601,7.5315,365.68,16277.55,3.5887,85.3274,147,128.2,1350.29,24.5059,4.7753,10.2795,1.6644,57.271,4.6639,4.951,84.6123,10.286,1.5521,38.282,14.9342,1.1363,18.2269
2021/11/29,1.5782,1.9558,6.3184,1.4362,1.044,7.2002,25.671,7.4367,0.84583,8.795,7.529,368.58,16193.78,3.5617,84.6635,147,128.21,1344.73,24.67,4.7793,10.214,1.6552,56.787,4.6962,4.9498,84.0171,10.2903,1.5441,37.978,14.3166,1.1276,18.2509
2021/11/26,1.5795,1.9558,6.3286,1.4397,1.0446,7.2149,25.662,7.4365,0.8462,8.8045,7.5228,368.56,16248.69,3.5863,84.5395,147.4,128.82,1348.9,24.4974,4.7863,10.1613,1.6538,56.997,4.7117,4.9498,84.9702,10.26,1.547,38.006,13.7642,1.1291,18.2448
2021/11/25,1.5627,1.9558,6.2643,1.4223,1.048,7.1676,25.475,7.4362,0.84295,8.7514,7.5225,366.61,16034.61,3.547,83.6074,147,129.41,1337.04,24.1647,4.7468,10.0655,1.6394,56.451,4.6661,4.9494,83.9075,10.176,1.535,37.496,13.4739,1.1223,17.8177
2021/11/24,1.5549,1.9558,6.2705,1.4227,1.0484,7.16,25.501,7.4367,0.83935,8.7372,7.519,369.15,16018.25,3.5163,83.439,146.6,129.06,1331.51,23.833,4.7183,10.026,1.6257,56.504,4.6802,4.9493,83.8087,10.1905,1.533,37.389,13.5022,1.1206,17.8078
2021/11/23,1.5581,1.9558,6.3298,1.4324,1.0492,7.1943,25.445,7.4364,0.84185,8.7744,7.524,370.91,16069.18,3.5014,83.8395,147.6,129.36,1340.6,23.7773,4.7277,10.071,1.6241,57.119,4.7119,4.9495,84.5002,10.133,1.5381,37.275,14.1306,1.1259,17.849
2021/11/22,1.5532,1.9558,6.3043,1.4257,1.0454,7.1975,25.373,7.4368,0.83923,8.7875,7.5185,369.12,16075.81,3.4842,83.852,148.2,128.69,1338.72,23.5855,4.7204,10.0715,1.6095,57.146,4.6984,4.9496,84.4872,10.128,1.5357,37.116,12.6714,1.1278,17.7799
2021/11/19,1.5581,1.9558,6.268,1.4254,1.0462,7.2027,25.413,7.4366,0.83928,8.7832,7.516,367.8,16105.54,3.4887,83.6905,147.8,128.22,1344.64,23.4637,4.7152,10.0483,1.6098,57.073,4.6818,4.9495,82.8124,10.096,1.5344,36.969,12.5247,1.1271,17.7513
2021/11/18,1.558,1.9558,6.2839,1.4295,1.0511,7.2419,25.23,7.4362,0.84173,8.8366,7.512,363.69,16138.1,3.4941,84.218,148.8,129.58,1342.26,23.5605,4.7439,9.9523,1.6106,57.099,4.6565,4.9497,82.82,10.0555,1.5408,37.03,12.5522,1.1345,17.7211
2021/11/17,1.5521,1.9558,6.2028,1.4206,1.053,7.217,25.22,7.4365,0.8409,8.814,7.5116,364.73,16117.38,3.4658,84.03,149.8,129.78,1337.42,23.4259,4.729,9.8895,1.6162,56.944,4.6571,4.9493,82.0791,10.0303,1.5364,36.969,11.8601,1.1316,17.5176
2021/11/16,1.549,1.9558,6.1838,1.4248,1.0528,7.2627,25.227,7.4367,0.84533,8.8544,7.5099,366.35,16182.27,3.5148,84.5404,150.4,129.89,1343,23.4423,4.7359,9.8863,1.6186,57.225,4.6545,4.9493,83.1933,10.0293,1.5393,37.153,11.602,1.1368,17.3177
2021/11/15,1.5537,1.9558,6.2458,1.4334,1.0533,7.3034,25.217,7.4375,0.85165,8.9156,7.5128,365.98,16225.69,3.5501,85.143,150.4,130.32,1350.36,23.5097,4.7624,9.9173,1.6174,57.309,4.6374,4.9496,82.8109,10.007,1.5457,37.428,11.4643,1.1444,17.3545
2021/11/12,1.569,1.9558,6.1902,1.4416,1.0568,7.3047,25.238,7.437,0.85505,8.9206,7.5123,366.15,16239.91,3.56,85.193,150.4,130.5,1349.1,23.6472,4.7692,9.9508,1.6293,56.995,4.6428,4.9488,82.6649,10.0085,1.5494,37.527,11.3987,1.1448,17.4919
2021/11/11,1.5699,1.9558,6.2383,1.4419,1.0561,7.3292,25.254,7.4372,0.85538,8.9299,7.5118,364.8,16342.32,3.5754,85.309,150.4,130.59,1353.13,23.5367,4.7765,9.9695,1.6318,57.372,4.6296,4.9474,81.5313,9.9648,1.5516,37.652,11.3605,1.146,17.4775
2021/11/10,1.5697,1.9558,6.2965,1.4371,1.0555,7.3866,25.209,7.4376,0.85548,9.0035,7.5165,362.15,16460.52,3.5938,85.8824,150.4,130.9,1362.58,23.5282,4.8006,9.8848,1.6285,57.859,4.6121,4.9496,81.8733,9.9645,1.5585,37.899,11.3563,1.1558,17.5294
2021/11/9,1.5642,1.9558,6.3847,1.4397,1.0592,7.3989,25.197,7.4377,0.8538,9.0186,7.519,360.99,16500.26,3.5928,85.791,150.4,130.9,1362.47,23.5335,4.8039,9.8555,1.6192,57.98,4.5926,4.9476,82.1148,9.8995,1.5601,37.932,11.2605,1.1577,17.3964
2021/11/8,1.5621,1.9558,6.4669,1.4411,1.0591,7.4048,25.252,7.4383,0.85478,9.0175,7.5188,359.76,16507.4,3.5842,85.8135,150.4,131.29,1368.52,23.6244,4.8111,9.8745,1.6151,58.019,4.5956,4.9491,82.6617,9.9588,1.5611,38.211,11.2782,1.1579,17.3716
2021/11/5,1.5594,1.9558,6.4193,1.4341,1.0559,7.3756,25.275,7.4376,0.85545,8.967,7.5218,359.5,16504.97,3.5875,85.5415,150.2,130.98,1366.75,23.6152,4.7919,9.8878,1.6242,57.949,4.6037,4.9496,82.0294,9.9033,1.5581,38.341,11.1858,1.1519,17.5039
2021/11/4,1.5602,1.9558,6.4833,1.4365,1.0554,7.3983,25.469,7.4377,0.8535,9.0059,7.524,359.86,16618.72,3.6052,86.0955,150.2,131.77,1369.33,23.8191,4.8052,9.859,1.6235,58.579,4.6067,4.9494,82.7443,9.906,1.5627,38.542,11.2503,1.1569,17.5896
2021/11/3,1.5574,1.9558,6.5663,1.4386,1.0568,7.4082,25.546,7.4381,0.84823,9.0114,7.5195,358.88,16594.39,3.6291,86.2355,150.2,131.9,1369.05,24.0953,4.8089,9.861,1.622,58.611,4.5875,4.9494,83.3463,9.912,1.5627,38.624,11.2219,1.1578,17.8613
2021/11/2,1.5544,1.9558,6.5907,1.4389,1.0594,7.4239,25.572,7.4399,0.84955,9.0297,7.5307,359.35,16570.39,3.63,86.604,150.8,132.03,1363.97,24.073,4.8135,9.792,1.626,58.56,4.6078,4.95,83.2159,9.8973,1.5637,38.568,11.0656,1.1603,17.9158
2021/11/1,1.54,1.9558,6.5426,1.4325,1.0562,7.4077,25.634,7.4396,0.84575,9.0108,7.5253,360.48,16532.95,3.636,86.7275,150.2,132.19,1363.88,23.9402,4.8066,9.7368,1.6097,58.55,4.6225,4.9493,82.2438,9.9135,1.5624,38.613,11.0202,1.1578,17.7451
2021/10/29,1.5455,1.9558,6.5698,1.4383,1.0611,7.4488,25.697,7.4389,0.8449,9.0563,7.527,360,16556.28,3.667,87.183,149.8,132.62,1362.92,23.8048,4.8222,9.7495,1.6255,58.654,4.6215,4.9493,82.3284,9.9368,1.5676,38.72,11.1393,1.1645,17.7447
2021/10/28,1.5411,1.9558,6.4798,1.4325,1.0656,7.4169,25.709,7.4391,0.84373,9.0167,7.5155,363.33,16468.73,3.6859,86.8032,149.6,131.7,1357.69,23.5842,4.8111,9.7468,1.6146,58.717,4.6192,4.9495,81.6042,9.969,1.5623,38.547,11.1435,1.1593,17.5553
2021/10/27,1.5458,1.9558,6.451,1.4414,1.067,7.426,25.684,7.4394,0.8453,9.0363,7.5145,364.05,16509.26,3.7062,87.201,149.8,132,1360.44,23.4502,4.8263,9.7368,1.6211,58.924,4.6207,4.9484,81.495,9.9713,1.5665,38.65,11.0173,1.1617,17.3934
2021/10/26,1.5465,1.9558,6.462,1.4361,1.0684,7.4124,25.7,7.4392,0.84178,9.0335,7.5225,365.29,16408.24,3.7178,87.082,150,132.47,1354.11,23.4016,4.8174,9.6828,1.6172,58.947,4.6009,4.9468,80.6417,9.9848,1.5637,38.456,10.9744,1.1618,17.1309
2021/10/25,1.5505,1.9558,6.5405,1.4347,1.0666,7.4142,25.734,7.4399,0.8438,9.0191,7.5273,365.84,16452.15,3.7207,87.216,149.8,131.88,1357.3,23.4551,4.817,9.7098,1.6235,58.814,4.6187,4.9475,81.1067,10,1.5633,38.423,11.2232,1.1603,17.1563
2021/10/22,1.551,1.9558,6.6304,1.4341,1.0668,7.4337,25.655,7.4405,0.8437,9.0412,7.5265,363.52,16500.43,3.7304,87.074,150.2,132.43,1368.39,23.5402,4.8265,9.7075,1.6257,59.084,4.5975,4.9454,81.8586,9.9748,1.5669,38.763,11.183,1.163,17.0626
2021/10/21,1.5528,1.9558,6.5892,1.4359,1.069,7.4463,25.615,7.4406,0.8429,9.0487,7.5132,363.39,16460.85,3.7379,87.1445,149.8,132.85,1370.6,23.6004,4.8387,9.7065,1.6214,59.124,4.603,4.9467,82.9299,10.0145,1.5672,38.862,10.9681,1.1637,16.9215
2021/10/20,1.5528,1.9558,6.483,1.4349,1.0739,7.4302,25.519,7.4404,0.84503,9.0375,7.5092,361.59,16404.06,3.7357,87.0086,150,132.78,1364.31,23.4814,4.8369,9.7435,1.6219,58.972,4.585,4.9487,82.5141,10.015,1.5629,38.774,10.7821,1.1623,16.8307
2021/10/19,1.5601,1.9558,6.4806,1.4389,1.0716,7.4464,25.505,7.4406,0.84275,9.0635,7.5083,360.64,16422.33,3.7425,87.5,150,133.12,1372.96,23.7003,4.8619,9.734,1.6294,59.157,4.5729,4.9488,82.6346,10.03,1.5666,38.881,10.8484,1.1655,17.0003
2021/10/18,1.5707,1.9558,6.3651,1.4384,1.0712,7.4617,25.453,7.44,0.84438,9.0268,7.5085,361.35,16371.79,3.7402,87.4083,150,132.46,1377.9,23.7177,4.8406,9.7643,1.6436,59.025,4.5787,4.949,82.7185,10.0375,1.5659,38.827,10.774,1.1604,17.1217
2021/10/15,1.564,1.9558,6.3635,1.4342,1.0729,7.4663,25.403,7.4402,0.84368,9.0258,7.5105,359.71,16292.6,3.7409,86.967,149.6,132.65,1371.21,23.8542,4.8241,9.7625,1.6445,58.903,4.5644,4.9465,82.6325,10.0288,1.5637,38.669,10.7132,1.1602,17.0504
2021/10/14,1.5644,1.9558,6.3528,1.4361,1.0686,7.4683,25.387,7.4406,0.84618,9.0244,7.5127,359,16353.05,3.7372,87.3355,149.6,131.65,1375.51,23.8458,4.8195,9.7928,1.6506,58.778,4.5693,4.95,83.1225,10.0138,1.5642,38.524,10.6104,1.1602,17.162
2021/10/13,1.5722,1.9558,6.3814,1.4386,1.0722,7.4482,25.369,7.4407,0.84898,8.9952,7.518,360.2,16438.27,3.7408,87.1095,150,131.3,1378.13,23.9497,4.8098,9.8555,1.6647,58.564,4.5772,4.949,83.0248,10.1195,1.5646,38.478,10.4833,1.1562,17.194
2021/10/12,1.566,1.9558,6.3977,1.4395,1.0729,7.4522,25.376,7.4408,0.84755,8.9915,7.5155,359.91,16396.85,3.7275,87.272,150,131.06,1383.4,24.0232,4.8132,9.8608,1.6591,58.711,4.5805,4.9499,83.0176,10.1078,1.5664,38.501,10.4044,1.1555,17.265
